Run,locking,substrate,size,pieceno,unique,axial_length_mm,widest_span_mm,width_ways_span,thickness_1,thickness_2,thickness_3,avg_thickness,avg_thickness_m,branched,no_branches,branch_1,branch_2,branch_3,avg_branch,dry_weight,dry_weight_corr,wet_weight,wet_weight_corr,mass_water,vol_water_in_voids,buoyant_weight,wet_coral_vol,dry_coral_vol,coral_wet_dens,coral_dry_dens,porosity,wave_period,wave_height_m,water_depth_m,E_value,calculated velocity_corrected,linear_wave_theory_velocity,Hs,T,depth_m,KC,FItoFD,24overKC2,InertiaSig,MaximumFrom,rock,walk_slide,flip,transport_after_slide_or_flip,movement_at_all,transport,greatest_movement_type-no_transport,greatest_movement_type-no_transport_walk_slide_combined,greatest_movement_type-transport,Waves,Remove_for_flip_analysis_but_not_movement_analysis
1,Free,Rubble,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
2,Free,Rubble,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
3,Free,Rubble,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
4,Free,Sand,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
5,Free,Sand,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
6,Free,Sand,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
7,Free,Rubble,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
8,Free,Rubble,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
9,Free,Rubble,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
10,Free,Sand,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
11,Free,Sand,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
12,Free,Sand,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
